Authorities arrest suspect in arson attacks on Tesla and GOP headquarters in New Mexico | CNN
Chinese EV giant BYD overtakes Tesla in the Global EV race
"Tesla stops taking new orders in China for two imported, US-made models | CNN Business"
"Lacey, Washington: Tesla charging station suffered damage"
Tesla sales plunge: Biggest decline in history | CNN Business
Fire at Tesla dealership near Rome destroys 17 cars | CNN
Over 200 ‘Tesla Takedown’ protests take place throughout US on ‘Global Day of Action’ against Elon Musk’s role with DOGE
‘I have like 17 jobs.’ Investors wonder if Elon Musk is spending enough time at Tesla
Tesla is bringing its electric cars to oil-rich Saudi Arabia amid falling global sales | CNN Business
Chinese EV titan BYD eclipses Tesla with annual sales of more than $100 billion
Tesla’s No.1 rival BYD is practically taunting Elon Musk now
Backlash continues against Elon Musk’s role with DOGE as demonstrations at Tesla showrooms enter fifth week | CNN Business
The Trump administration can’t stop shilling for Tesla | CNN Business
The used Tesla market is crumbling | CNN Business
"Tesla to recall more than 46,000 Cybertrucks due to exterior panel issue | CNN Business"
Tesla booted from Vancouver International Auto Show over ‘safety’ | CNN Business
Gravity may be finally catching up to Elon Musk as Tesla stock tumbles | CNN Business
Tesla explosion: FBI investigating vehicles shot and set on fire in Las Vegas
